1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
162,Rechnungs-Departement,Q510698,,Q507090,Georg Adam Bernhard Lotz,Georg Adam Bernhard Lotz,unverändert,Forst-Secretarius,,,,,,,,,,,,,,,,
163,Rechnungs-Departement,Q510698,,Q507089,Ernst Wilhelm Martini,Ernst Wilhelm Martini,unverändert,Land-Renth-Commissarius,,,,,,,,,,,,,,,,
164,Rechnungs-Departement,Q510698,,Q507091,Johann Andreas Ludwig Harnisch,Johann Andreas Ludwig Harnisch,unverändert,Cammer-Verwalter,,,,,,,,,,,,,,,,
165,Rechnungs-Departement,Q510698,,,Johann Georg Wolfram,Johann Georg Wolfram,andere Qulli,Futter-Commissarius,,,,,,,,,,,,,,,,
166,Rechnungs-Departement,Q510698,,,Melchior Immanuel Drechßler,Melchior Immanuel Drechßler,unverändert,Amtsverwalter als Calculator,,,,,,,,,,,,,,,,
167,Rechnungs-Departement,Q510698,,,Carl Rudolph Zinkeisen,Carl Rudolph Zinkeisen,unverändert,Accessist,,,,,,,,,,,,,,,,
168,Cammer-Ober-Steuer-Department,Q506828,,Q98102,Johann August Möller,Johann August Möller,unverändert,Steuer-Secretarius,Cammer-Commissarius,,,,,,,,,,,,,,,
169,Cammer-Ober-Steuer-Department,Q506828,,Q192868,Johann Heinrich Irmel,Johann Heinrich Irmel,unverändert,Ober-Steuer-Kassirer,,,,,,,,,,,,,,,,
170,Cammer-Boten,Q506912,,Q507093,Johann Levin Robst,Johann Levin Robst,unverändert,,,,,,,,,,,,,,,,,
171,Cammer-Boten,Q506912,,,Georg Jacob Groß,Georg Jacob Groß,andere Qualli,,,,,,,,,,,,,,,,,
172,Cammer-Boten,Q506912,,,,Johann Martin Schröter,neu,Beybothe,,,,,,,,,,,Johann,Martin,,,,Schröter
173,Bey den Berg- und Schmelzwerken,Q506766,,Q507105,Carl Friedrich Baum,Carl Friedrich Baum,andere Qualli,Bergrat,,,,,,,,,,,,,,,,
174,Bey den Berg- und Schmelzwerken,Q506766,,Q507108,Johann Friedrich Werlisch,Johann Friedrich Werlisch,unverändert,Kassierer,,,,,,,,,,,,,,,,
175,Bey den Berg- und Schmelzwerken,Q506766,,,Johann Georg Waitz,Johann Georg Waitz,unverändert,Controleur,,,,,,,,,,,,,,,,
176,Bey den Berg- und Schmelzwerken,Q506766,,,Gottlieb Michael Häcker,Gottlieb Michael Häcker,unverändert,Berg Insprctor,,,,,,,,,,,,,,,,
177,Herzogliche Münze,Q506842,,Q192617,Ludwig Christian Koch,Ludwig Christian Koch,unverändert,Münz-Direktor,,,,,,,,,,,,,,,,
178,Herzogliche Münze,Q506842,,Q507111,Christian Conrad Gerngroß,Christian Conrad Gerngroß,unverändert,Münz-Warabein,,,,,,,,,,,,,,,,
179,Herzogliches Post-Amt zu Gotha,Q506844,,Q507088,Christian Friededrich Schmidt,Christian Friededrich Schmidt,unverändert,Land -Cammerad,Post-Commissarius,,,,,,,,,,,,,,,
180,Herzogliches Post-Amt zu Gotha,Q506844,,,Heinrich Christian Kummer,Heinrich Christian Kummer,unverändert,Rath,Post-Director,,Post-Director,,,,,,,,,,,,,
181,Floßbediete zu Gotha,Q506845,,Q507126,Johann Traugott Christian Thielemann,Johann Traugott Christian Thielemann,andere Qualli,Floßmeister,,,,,,,,,,,,,,,,
182,Floßbediete zu Gotha,Q506845,,Q507129,Wilhelm Haßkerl,Wilhelm Haßkerl,unverändert,Holzvoigt,,,,,,,,,,,,,,,,
183,Herzogliches Bau-Amt zu Gotha,Q506854,,Q77402,Johann David Weidner,Johann David Weidner,unverändert,Baumeister,,,,,,,,,,,,,,,,
184,Herzogliches Bau-Amt zu Gotha,Q506854,,Q156010,Friedrich August Bause,Friedrich August Bause,unverändert,Bauinspektor,,,,,,,,,,,,,,,,
185,Herzogliches Bau-Amt zu Gotha,Q506854,,Q513282,Johann Sigmund Gerhard,Johann Sigmund Gerhard,unverändert,Bauverwalter,,,,,,,,,,,,,,,,
186,Herzogliches Bau-Amt zu Gotha,Q506854,,Q507135,Bernhard Caspar Hofmann,Bernhard Caspar Hofmann,unverändert,Bauschreiber,,,,,,,,,,,,,,,,
187,Herzogliches Bau-Amt zu Gotha,Q506854,,Q507136,Johann Georg Schneegaß,Johann Georg Schneegaß,unverändert,Baudiener,,,,,,,,,,,,,,,,
188,Herzogliches Bau-Amt zu Gotha,Q506854,,Q507370,Jacob Ludwig Sandmann,Jacob Ludwig Sandmann,unverändert,Wallmeister,,,,,,,,,,,,,,,,
189,Herzogliches Bau-Amt zu Gotha,Q506854,,,Johann Simon Seyfarth,Johann Simon Seyfarth,unverändert,Alleen-Aufseher,,,,,,,,,,,,,,,,
190,Herzogliches Bau-Amt zu Gotha,Q506854,,,Christian Bachann,Christian Bachann,unverändert,Bauknecht,,,,,,,,,,,,,,,,
191,Herzogliches Bau-Amt zu Gotha,Q506854,,,Georg Böhm,Georg Böhm,unverändert,Bauknecht,,,,,,,,,,,,,,,,
192,Herzogliches Bau-Amt zu Gotha,Q506854,,,Johann Georg Göpfert,Johann Georg Göpfert,anderer VN,Bauknecht,,,,,,,,,,,,,,,,
193,Herzogliches Bau-Amt zu Gotha,Q506854,,,,Lorenz Stein,neu,Bauknecht,,,,,,,,,,,Lorenz,,,,,Lorenz Stein
194,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507137,Johann Nicolaus Karstedt,Johann Nicolaus Karstedt,unverändert,Hof-Tapeten-Mahler,,,,,,,,,,,,,,,,
195,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q161696,Johann Georg Ephraim Schmidt,Johann Georg Ephraim Schmidt,unverändert,Stuccateur,,,,,,,,,,,,,,,,
196,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507141,Johann Friedrich Böhler,Johann Friedrich Böhler,unverändert,Hof-Kunst,Figurenschneider,,,,,,,,,,,,,,,
197,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507142,Johann Christoph Eichler,Johann Christoph Eichler,unverändert,Hof-Bildhauer,,,,,,,,,,,,,,,,
198,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507144,Johann Wolfgang Zöller,Johann Wolfgang Zöller,unverändert,Hof- Graveur,,,,,,,,,,,,,,,,
199,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q161248,Johann Friedrich Lauterbeck,Johann Friedrich Lauterbeck,unverändert,Hof-Uhrmacher,,,,,,,,,,,,,,,,
200,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Dietrich Ungewitter,Johann Dietrich Ungewitter,unverändert,Hof-Bildhauer,,,,,,,,,,,,,,,,
201,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Christian Friedrich Ritter,Christian Friedrich Ritter,unverändert,Hofmahler,Stallmahler,,,,,,,,,,,,,,,
202,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Wolfgang Fischer,Johann Wolfgang Fischer,unverändert,Hof-Büchsenmacher,,,,,,,,,,,,,,,,
203,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507145,Johann Caspar Drüschler,Johann Caspar Drüschler,unverändert,Marmorirer,,,,,,,,,,,,,,,,
204,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507146,Johann Martin Urban,Johann Martin Urban,unverändert,Glasschneider,,,,,,,,,,,,,,,,
205,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507147,Melichor Jacob Otto,Melichor Jacob Otto,unverändert,Kunstmeister,Röhrenmeister,,,,,,,,,,,,,,,
206,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q1052,Johann Friedrich Schmidt,Johann Friedrich Schmidt,unverändert,Hofbeutler,,,,,,,,,,,,,,,,
207,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507148,Elias Gotfried Hahn,Elias Gotfried Hahn,unverändert,Glockengießer,,,,,,,,,,,,,,,,
208,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507149,Johann Caspar Heußner,Johann Caspar Heußner,unverändert,Hofklempner,,,,,,,,,,,,,,,,
209,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Gabriel Liebertau,Johann Gabriel Liebertau,unverändert,Hofklempner,,,,,,,,,,,,,,,,
210,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507150,Cristoph Bernecker,Cristoph Bernecker,unverändert,Hofschreiner,,,,,,,,,,,,,,,,
211,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Jacob Wiegleb,Johann Jacob Wiegleb,unverändert,Hofschreiner,,,,,,,,,,,,,,,,
212,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507437,August Caspar Eißfeld,August Caspar Eißfeld,unverändert,Hofsattler,,,,,,,,,,,,,,,,
213,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Georg Ludwig Schönau,Georg Ludwig Schönau,unverändert,Hofzinngießer,,,,,,,,,,,,,,,,
214,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Georg Christian Blödner,Johann Georg Christian Blödner,unverändert,Hofseifensieder,,,,,,,,,,,,,,,,
215,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507151,Johann Philipp Ludewig,Johann Philipp Ludewig,unverändert,Zimmerer,,,,,,,,,,,,,,,,
216,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507152,Johann Ernst Paul,Johann Ernst Paul,unverändert,Zimmerer,,,,,,,,,,,,,,,,
217,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507154,Conrad Christoph Schuchardt,Conrad Christoph Schuchardt,unverändert,Zigeldecker,,,,,,,,,,,,,,,,
218,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q513397,Johann Jeremias Hellmund,Johann Jeremias Hellmund,unverändert,Zigeldecker,,,,,,,,,,,,,,,,
219,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q264694,Johann Christian Silber,Johann Christian Silber,unverändert,Hofschlosser,,,,,,,,,,,,,,,,
220,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Christian Eisenberg,Johann Christian Eisenberg,unverändert,Hofschlosser,,,,,,,,,,,,,,,,
221,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Jacob Jusatz,Johann Jacob Jusatz,unverändert,Hofdrechsler,,,,,,,,,,,,,,,,
222,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507158,Gottlieb Friedrich Schellborn,Gottlieb Friedrich Schellborn,unverändert,Hofbauschmied,,,,,,,,,,,,,,,,
223,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507159,Johann Gottfried Lippmann,Johann Gottfried Lippmann,unverändert,Hofglaser,,,,,,,,,,,,,,,,
224,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Georg Tobias Endert,Georg Tobias Endert,unverändert,Hofglaser,,,,,,,,,,,,,,,,
225,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507161,Gottfried Philipp Mackerodt,Gottfried Philipp Mackerodt,unverändert,Hofschieferdecker,,,,,,,,,,,,,,,,
226,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507162,Carl Ammerbach,Carl Ammerbach,unverändert,Töpfer,,,,,,,,,,,,,,,,
227,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507163,Heinrich Christoph Köthe,Heinrich Christoph Köthe,unverändert,Schlotfeger,,,,,,,,,,,,,,,,
228,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507164,Bernard Caspar Hofmann,Bernard Caspar Hofmann,unverändert,Oberspritzenmeister,,,,,,,,,,,,,,,,
229,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Christian Eisenberg,Johann Christian Eisenberg,unverändert,Oberspritzenmeister,,,,,,,,,,,,,,,,
230,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q264694,Johann Christian Silber,Johann Christian Silber,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,
231,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Siegmund Silber,Johann Siegmund Silber,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,
232,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507168,Georg Samuel Eidam,Georg Samuel Eidam,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,
233,Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Andreas David Eisenberg,Andreas David Eisenberg,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,
234,Thor und Einlaß-Schreiberei,Q506834,,Q260000,Johann Wilhelm Völker,Johann Wilhelm Völker,unverändert,Tor und Einlaßschreiber,,,,,,,,,,,,,,,,
235,Thor und Einlaß-Schreiberei,Q506834,,Q507104,Johann Georg Trinks,Johann Georg Trinks,unverändert,Tor und Einlaßschreiber,,,,,,,,,,,,,,,,
236,Thor und Einlaß-Schreiberei,Q506834,,Q513293,Johann Georg Merbach,Johann Georg Merbach,unverändert,Tor und Einlaßschreiber,,,,,,,,,,,,,,,,
237,Thor und Einlaß-Schreiberei,Q506834,,Q518302,Christoph Georg Rüger,Christoph Georg Rüger,unverändert,Tor und Einlaßschreiber,,,,,,,,,,,,,,,,
238,Herzogliches Kriegs-Collegium,Q506913,,Q507170,Johann Christoph Westhof,Johann Christoph Westhof,andere Qualli,Obrister,Kriegs-Rrath,,Kriegsrath,,,,,,,,,,,,,
239,Herzogliches Kriegs-Collegium,Q506913,,Q507174,Friedrich August Brandes,Friedrich August Brandes,unverändert,Kriegs-Rrath,,,,,,,,,,,,,,,,
240,Herzogliches Kriegs-Collegium,Q506913,,Q192749,Friedrich Christian John,Friedrich Christian John,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,
241,Herzogliches Kriegs-Collegium,Q506913,,Q101891,Ernst Wilhelm Schierschmidt,Ernst Wilhelm Schierschmidt,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,
242,Kriegs-Zahlmeister,,,Q101891,Ernst Wilhelm Schierschmidt,Ernst Wilhelm Schierschmidt,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,
243,Kriegs Commissarius zu Altenburg,Q510701,,Q507181,Johann Heinrich Heumann,Johann Heinrich Heumann,unverändert,Hauptmann,,,,,,,,,,,,,,,,
244,Kriegs Commissarius zu Altenburg,Q510701,,Q257574,Albrecht Heinrich von Hof,Albrecht Heinrich von Hof,unverändert,Secretarius,,,,,,,,,,,,,,,,
245,Kriegs Commissarius zu Altenburg,Q510701,,Q156913,Georg Imanuel Buddeus,Georg Imanuel Buddeus,unverändert,Secretarius,,,,,,,,,,,,,,,,
246,Kriegs Commissarius zu Altenburg,Q510701,,Q99131,Johann Friedrich Dürfeld,Johann Friedrich Dürfeld,unverändert,Bothenmeister,,,,,,,,,,,,,,,,
247,Kriegs Commissarius zu Altenburg,Q510701,,,Ludwig Wilhelm Zinkeisen,Ludwig Wilhelm Zinkeisen,andere Qualli,Registrator,,,,,,,,,,,,,,,,
248,Kriegs Commissarius zu Altenburg,Q510701,,,,Johann August Caupert,neu,Kriegs-Kassier,,,,,,,,,,,Johann,August,,,,Caupert
249,Kriegs Commissarius zu Altenburg,Q510701,,,Ambrosius Jacob Müller,Ambrosius Jacob Müller,unverändert,Kriegs-Actuarius,,,,,,,,,,,,,,,,
250,Kriegs Commissarius zu Altenburg,Q510701,,Q513254,Christoph Heinemann,Christoph Heinemann,unverändert,Canzleydiener,,,,,,,,,,,,,,,,
251,Kriegs Commissarius zu Altenburg,Q510701,,Q507183,Johann Georg Witschel,Johann Georg Witschel,unverändert,Bothe,,,,,,,,,,,,,,,,
252,Kriegs-Verhör-Stube,,,,Gottlob  Ernst Christian Schulthers,Gottlob  Ernst Christian Schulthers,unverändert,Secretarius,,,,,,,,,,,,,,,,
253,Proviant-Verwalter zu Altenburg,,,,Johann Heinrich Lemser,Johann Heinrich Lemser,unverändert,Proviant-Verwalter zu Altenburg,,,,,,,,,,,,,,,,
254,Herzogliche Ober Consistorium zu Gotha,Q506926,,Q23279,Ernst Wilhelm von Wangenheim,Ernst Wilhelm von Wangenheim,unverändert,Wirklicher Geheimer Rath,Herrschaftlicher Obereinnehmer,Direktor dieses Collegii,,,,,,,Seine Exellenz,,,,,,,
255,Herzogliche Ober Consistorium zu Gotha,Q506926,,Q145173,Friedrich Hartmann von Witzleben,Friedrich Hartmann von Witzleben,andere Qualli,herzoglicher S.Weimarisch,Wirklicher  Geheimer Rath,Ober-Hof-Marschall,Ritterschaftlicher Ober-Einnehmer,,Ritterschaftlicher Ober-Einnehmer,,,,Seine Exellenz,,,,,,,
256,Herzogliche Ober Consistorium zu Gotha,Q506926,,Q192534,Heinrich Christoph Bertuch,Heinrich Christoph Bertuch,unverändert,Geheimer Regierungs-Rat,Steuer Assessor,,,,,,,,,,,,,,,
257,Herzogliche Ober Consistorium zu Gotha,Q506926,,Q507185,Caspar Hermann Stieler,Caspar Hermann Stieler,unverändert,Hof-Rath,Bürgermeister,Städtischer Obereinnehmer,,,,,,,,,,,,,,
258,Obersteuer-Canzley,Q506800,,Q507022,Johann Friedrich Hartmann von Witzleben,Johann Friedrich Hartmann von Witzleben,unverändert,S.Weimarisch Wiklicher OberhofmarschallRat,Steuercomissarius,Ritterlicher Obver-Einnehmer,,,,,,,,,,,,,,
259,Obersteuer-Canzley,Q506800,,,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,Ober-Policey,Steuerc-Commissarius,,,,,,,,,,,,,,,
260,Obersteuer-Canzley,Q506800,,,,Johann Christoph Bertuch,neu,Obersteuer Secretarius,,,,,,,,,,,Johann,Christoph,,,,Bertuch
261,Obersteuer-Canzley,Q506800,,,,Anton Heinrich Hartmann,neu,Secretarius,,,,,,,,,,,Anton,Heinrich,,,,Hartmann
262,Obersteuer-Canzley,Q506800,,,Johann August Hofmann,Johann August Hofmann,unverändert,Steuer-Registrator,,,,,,,,,,,,,,,,
263,Rechnungs-Departement,Q513170,,Q507190,Johann Friedrich Birkel,Johann Friedrich Birkel,unverändert,Landschafts Kassierer,,,,,,,,,,,,,,,,
264,Rechnungs-Departement,Q513170,,Q42353,Johann Friedrich Büchner,Johann Friedrich Büchner,unverändert,Steuer Revisor,,,,,,,,,,,,,,,,
265,Rechnungs-Departement,Q513170,,Q507194,Heinrich Valentin Frey,Heinrich Valentin Frey,andere Qualli,Steuer-Diener,,,,,,,,,,,,,,,,
266,Rittersteuer-Einname,,,Q97277,Christian Friedrich Schaller,Christian Friedrich Schaller,unverändert,Rath,,,,,,,,,,,,,,,,
267,Städtische Steuereinnehmer Stadt Gotha,,,Q507197,Johann Anton Schudroff,Johann Anton Schudroff,unverändert,Steuereinnehmer,,,,,,,,,,,,,,,,
268,Städtische Steuereinnehmer Stadt Gotha,,,Q507199,Johann Christoph Spangenberg,Johann Christoph Spangenberg,unverändert,Aufwärter,,,,,,,,,,,,,,,,
269,,,,,Johann Christian Andreas Orphal,Johann Christian Andreas Orphal,unverändert,Amtmann,,,,,,,,,,,,,,,,
270,,,,Q507040,Friedrich Christoph Gotthatrd John,Friedrich Christoph Gotthatrd John,unverändert,ordin. Hof-Advocat ,Bürgermeister,,,,,,,,,,,,,,,
271,,,,,Johann Heinrich Madelung,Johann Heinrich Madelung,unverändert,Steuer-Secretarius,,,,,,,,,,,,,,,,
272,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten des Grafen-Stands",,,,Ferdinand Christian von Lyucker,Ferdinand Christian von Lyucker,unverändert,Fürstl. Schwarzburgl. Canzlar,,"Consistorial-Praesident zu Arnstadt, wegen der untergrafschaft Gleichen",,,,,,,,,,,,,,
273,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten des Grafen-Stands",,,,Johann Bernard Schaunert,Johann Bernard Schanert,anderer FN,"Fürstl. Hohenlob-Langenburgischer Hofrath, wegen der Obergrafschaft Gleichen-Reusteinisch.  Deputatus vacat.",,,,,,,,,,,,,,,,
274,,,,,Christ. Immanuel Loder,Christ. Immanuel Loder,unverändert,"Fürstl. Hohenlob-Langenburgischer Hofrath, wegen der Obergrafschaft Gleichen-Reusteinisch.  Deputatus vacat.",,,,,,,,,,,,,,,,
275,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q23279,Ernst Wilhelm von Wangenheim,Ernst Wilhelm von Wangenheim,unverändert,auf Behringen,Wirklicher Geheimer Rath und Obersteuer-Director,,,,,,,,Exellenz,,,,,,,
276,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,,,Alexander von Witzleben,neu,auf Fröttstädt,Kayserlich-Königlicher Cammerhrer,,,,,,,,,,Alexander,,,,,von Witzleben
277,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q145173,Friedrich Hartmann von Witzleben,Friedrich Hartmann von Witzleben,andere Qualli,auf Elgersburg,Martinroda,Herzoglich Sächsisch Weimarischer Geheimer Rath ,Oberhofmarschall,,,,,,,,,,,,,
278,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q422219,Friedrich Wilhelm von Seebach,Friedrich Wilhelm von Seebach,unverändert,auf Farnern,Dom-Dechant des Stifts zu Naumburg,,,,,,,,,,,,,,,
279,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,,Friedrich Bernhard von Wangenheim,Friedrich Bernhard von Wangenheim,unverändert,auf Sonneborn,Königlich Preußischer Ruttmeister,,,,,,,,,,,,,,,
280,Außerordentliche Depurtirte,,,Q174968,Gottlob Ernst Josias Friedrich Freyherr von Stein,Gottlob Ernst Josias Friedrich Freyherr von Stein,unverändert,auf Groß-Kochberg,Herzoglich Sächsischer Weimarischer Stallmeister,,,,,,,,Freyherr,,,,,,,
281,Außerordentliche Depurtirte,,,,Christian von Herda,Christian von Herda,unverändert,auf Ettenhaußen,Herzoglich Sächsischer Weimarischer Ober-Stallmeister,,,,,,,,,,,,,,,
282,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Städte",,,Q507185,Caspar Hermann Stieler,Caspar Hermann Stieler,unverändert,Hofrath ,Bürgermeister zu Gotha,,,,,,,,,,,,,,,
283,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Städte",,,,Johann Friedrich Freytag,Johann Friedrich Freytag,unverändert,Rath,Bürgermeister ,,,,,,,,,,,,,,,
284,"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Städte",,,,Friedrich Christoph Gotthatrd John,Friedrich Christoph Gotthatrd John,unverändert,ord. Hof-Advocat,Bürgermeister  zu Waltershausen,,,,,,,,,,,,,,,
285,Landschafts-Consulent,,,Q192806,Carl Adolph Wachler,Carl Adolph Wachler,unverändert,Hofrath,,,,,,,,,Freiherr,,Philipp,,,,,
286,Auf dem Reichstag,,,,,Philipp Freiherr von Gemmingen zu Gutenberg,neu,Geheimer Rat,Conitial-Gesandter,,,,,,,,,,,,,,,von Gemmingen zu Gutenberg
287,Legions-Canzley,Q510702,,Q507201,Philipp Friedrich Ernesti,Philipp Friedrich Ernesti,unverändert,Legations-Secretarius,,,,,,,,,,,,,,,,
288,Legions-Canzley,Q510702,,,Friedrich Samuel Ernesti,Friedrich Samuel Ernesti,unverändert,Legations-Canzlist,,,,,,,,,,,,,,,,
289,Am Kaiserlichen Hofe,Q506942,,,Wilhelm Heinrich von der Lith,Wilhelm Heinrich von der Lith,unverändert,accreditirter Geheimer-Legations-Rath,,,Legations-Rath,,,,,,,,,,,,,
290,Am Kaiserlichen Hofe,Q506942,,,,Joachim Chhristoph vo Hffner,neu,Reichs-Hofrats-Agent,,,,,,,,,,,Joachim,Chhristoph,,,,vo Hffner
291,Am Königlich Französischem Hofe,,,Q421806,Friedrich Melichor von Grimm,Friedrich Melichor von Grimm,unverändert,Ministre plenipotentiaire,,,,,,,,,,,,,,,,
292,Zu Augspurg,Q506945,,Q390469,Johann Friedrich Gullmann,Johann Friedrich Gullmann,unverändert,Resident,,,,,,,,,,,,,,,,
293,Zu Augspurg,Q506945,,Q507213,Marco Baltasar Gullmann,Marco Baltasar Gullmann,unverändert,adjung Resident,,,,,,,,,,,,,,,,
294,Zu Coblenz,Q506946,,Q507214,Friedrich Els,Friedrich Els,andere Qualli,Hof Agent,,,,,,,,,,,,,,,,
295,Zu Frankfurt,Q506947,,Q507216,Friedrich Jacob von Riese,Friedrich Jacob von Riese,unverändert,Ledations-Rath,,,,,,,,,,,,,,,,
296,Im Haag,Q506948,,,Gysbert Heenemann,Gysbert Heenemann,unverändert,Kriegs-Agent,,,,,,,,,,,,,,,,
297,Zu Hamburg,Q506949,,Q507218,Paribon Daniel Kern,Paribon Daniel Kern,unverändert,Agent,,,,,,,,,,,,,,,,
298,zu Rebl,,,,August Benjamin Friedrich Strobel,August Benjamin Friedrich Strobel,unverändert,Agent,,,,,,,,,,,,,,,,
299,zu Lion,,,,Robert Perrin,Robert Perrin,unverändert,Agent,,,,,,,,,,,,,,,,
300,zu Mayland,,,,Francesco Bianchi,Francesco Bianchi,unverändert,Agent,,,,,,,,,,,,,,,,
